@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'','',1/5/2013
'','jakarta utara',1/5/2013
'',malang,''
'','',''
'',banjarnegara,19/4
'',surabaya,''
'',kupang,25/5/2013
'','',8/5
'','banda aceh',''
'',bogor,14/4
'','',''
'','',''
'','',''
'',puncak,26/5/2013
'','',''
'',kupang,20/4
'','',6/5
'',surabaya,20--28/4/2013
'','',''
'',kupang,27/4
'','',''
'',yogyakarta,21/4
'','',20/4
'',surabaya,24/4
'','',24/5
'',yogyakarta,9/9/2013
'','',''
'',bekasi,15/6
'',bandung,''
'',magelang,2/6/2013
'',magelang,27/4
'an daki rapi',boyolali,''
'','',''
'',surabaya,22/4
'',surabaya,22/4
'','aceh barat daya',9/5/2013
'','',18/12/2011
'',lebak,19/4
'',palu,''
'',ambon,''
'',surabaya,24/4
'','jakarta pusat',25/6/2015
'',temanggung,5/5
'',banyuwangi,26/5/2013
'','',19/4
'','jakarta pusat',25/6/2015
'',makassar,15/5
'','',''
'','',''
'emas jose mourinho','',''
'',manado,3/5/13
'',malang,''
'',malang,''
'',bangka,18/4
'',baru,5/5/2013
'','',24/06
'','',''
'','',6/5/2013
'',sukabumi,20/4
'',bengkulu,1/5
'','jakarta pusat',''
'','',21/5/2013
habis,'',20/4
'','ogan ilir',6/5
'','',24/6/2015
'',kerinci,18/4
'',bekasi,29/4/2013
'','',12/6
'','',20/4
'','',21/4
'',mimika,1/5
'','',''
'','',23/6
'',magelang,11/4/2013
'','',''
'',kudus,6/5/2013
'','',april-29/5/2013
'','',21/5/2013
'',klaten,20/4
'',pekalongan,6-8/5/2013
'','',24/6/2015
'',pamekasan,6/5/2013
'',temanggung,15/4
23,'',21/4
'',metro,25/6/2015
'','kulon progo',6/5/2013
'','banda aceh',''
'',samarinda,19/4/2013
'','',''
'','tanah laut',24/4
'',depok,25/6/2015
'','',''
'','',22-25/4/2013
'',samarinda,17/4
'','',26/6/2015
'',lahat,18/5/2013
'',lebak,6/5/2013
'',medan,23/4/2013
'',sorong,1/5/2013
'',demak,''
'',sidoarjo,1/5/2013
'',lebak,6/5/2013
